nom;amendements_adoptes;amendements_proposes;amendements_signes;commission_interventions;commission_presences;hemicycle_interventions;hemicycle_interventions_courtes;propositions_ecrites;propositions_signees;questions_ecrites;questions_orales;rapports;semaines_presence;mois;annee;DEPSIR
Cédric Roussel;0;0;0;0;1;0;0;0;0;0;0;0;1;6;2017;0603
Cédric Roussel;0;0;0;7;7;0;0;0;0;0;0;0;3;7;2017;0603
Cédric Roussel;0;0;0;1;1;0;0;0;1;0;0;0;1;8;2017;0603
Cédric Roussel;0;0;0;1;1;0;0;0;0;0;0;0;1;9;2017;0603
Cédric Roussel;1;0;7;0;7;0;2;0;1;0;0;0;4;10;2017;0603
Cédric Roussel;0;0;8;5;5;2;2;0;1;0;1;0;4;11;2017;0603
Cédric Roussel;12;2;25;0;5;11;2;0;1;0;0;0;3;12;2017;0603
Cédric Roussel;32;0;62;4;15;3;0;0;1;0;0;0;4;1;2018;0603
Cédric Roussel;1;0;1;2;5;1;0;0;2;2;0;0;3;2;2018;0603
Cédric Roussel;0;0;0;3;3;0;0;0;4;0;0;0;4;3;2018;0603
Cédric Roussel;0;0;17;3;5;1;0;0;1;1;0;0;3;4;2018;0603
Cédric Roussel;18;18;118;7;8;2;0;0;2;0;1;0;4;5;2018;0603
Cédric Roussel;26;5;70;2;5;13;4;0;1;0;0;0;4;6;2018;0603
Cédric Roussel;18;3;37;2;4;5;1;0;0;0;0;0;5;7;2018;0603
Cédric Roussel;0;0;0;0;0;0;1;0;0;0;0;0;1;8;2018;0603
Cédric Roussel;47;14;156;1;2;2;1;0;0;2;0;0;3;9;2018;0603
Cédric Roussel;56;5;126;3;10;11;2;0;0;0;0;0;5;10;2018;0603
Cédric Roussel;66;9;107;3;6;4;1;0;0;4;0;0;4;11;2018;0603
Cédric Roussel;30;0;46;2;2;0;2;0;2;5;0;0;3;12;2018;0603
Cédric Roussel;17;0;46;2;8;0;0;0;1;0;0;0;3;1;2019;0603
Cédric Roussel;13;5;50;2;2;2;0;0;1;5;0;0;2;2;2019;0603
Cédric Roussel;34;7;75;3;5;0;0;0;3;4;0;0;4;3;2019;0603
Cédric Roussel;13;0;15;1;2;2;0;0;1;1;0;0;2;4;2019;0603
Cédric Roussel;18;6;65;1;3;6;0;0;1;0;1;0;3;5;2019;0603
Cédric Roussel;36;3;70;2;6;3;0;0;1;1;0;0;4;6;2019;0603
Cédric Roussel;16;6;29;0;0;4;0;0;2;0;0;0;3;7;2019;0603
Cédric Roussel;0;0;0;0;0;0;0;0;0;2;0;0;0;8;2019;0603
Cédric Roussel;6;0;11;1;1;0;0;0;2;0;0;0;1;9;2019;0603
Cédric Roussel;16;3;34;1;4;0;0;0;2;0;0;0;3;10;2019;0603
Cédric Roussel;32;1;40;0;2;0;1;0;1;0;0;0;4;11;2019;0603
Cédric Roussel;11;0;18;0;2;0;0;0;2;0;0;0;2;12;2019;0603
Cédric Roussel;9;0;19;3;4;0;0;0;3;0;0;0;3;1;2020;0603
Cédric Roussel;16;0;75;0;4;0;2;0;2;0;0;0;4;2;2020;0603
Cédric Roussel;10;3;13;4;7;0;1;0;0;0;0;0;2;3;2020;0603
Cédric Roussel;5;0;20;0;0;0;0;0;0;0;0;0;0;4;2020;0603
Cédric Roussel;7;1;45;0;0;0;0;0;2;0;0;0;0;5;2020;0603
