;Tweets;Followers;Following;Followers ratio;Listed;Replies/100derniers;Tweets with @mentions/100derniers;Tweets with #hashtags/100derniers;Retweets/100;Tweets with links/100derniers;Tweets with media/100derniers;Mot prefere;twitter;date_scrap;nom;DEPSIR
0;3681.0;5662.0;1023.0;5.53;131.0;1.0;55.0;49.0;8.0;92.0;0.0;modle;CedricRoussel06;01/01/2022;Cédric Roussel;0603
1;4956.0;4653.0;1215.0;3.83;82.0;5.0;60.0;13.0;15.0;82.0;1.0;cest;f_personne;01/01/2022;Pascale Fontenel-Personne;7203
2;6304.0;10539.0;1264.0;8.34;178.0;1.0;95.0;21.0;92.0;8.0;14.0;cest;guillaumekasba;01/01/2022;Guillaume Kasbarian;2801
3;6427.0;2594.0;1287.0;2.02;113.0;7.0;73.0;15.0;45.0;44.0;15.0;sant;Cisaacsibille;01/01/2022;Cyrille Isaac-Sibille;6912
4;3065.0;3773.0;812.0;4.65;130.0;6.0;77.0;51.0;46.0;53.0;3.0;cest;g_vuilletet;01/01/2022;Guillaume Vuilletet;9502
5;15579.0;66884.0;2546.0;26.27;739.0;1.0;66.0;31.0;49.0;48.0;8.0;cette;faureolivier;01/01/2022;Olivier Faure;7711
6;2528.0;6050.0;2482.0;2.44;124.0;7.0;89.0;34.0;65.0;33.0;0.0;merci;p_a_raphan;01/01/2022;Pierre-Alain Raphan;9110
7;446.0;1616.0;426.0;3.79;0.0;0.0;76.0;35.0;73.0;26.0;1.0;dputs;eanthoine26;01/01/2022;Emmanuelle Anthoine;2604
8;11294.0;9011.0;1112.0;8.1;175.0;55.0;84.0;11.0;22.0;51.0;2.0;cest;AChristine_Lang;01/01/2022;Anne-Christine Lang;7510
9;1470.0;3934.0;488.0;8.06;161.0;2.0;56.0;27.0;32.0;67.0;0.0;loi;Lvichnievsky;01/01/2022;Laurence Vichnievsky;6303
10;2948.0;5539.0;794.0;6.98;122.0;0.0;90.0;43.0;79.0;23.0;2.0;colloque;B_BessotBallot;01/01/2022;Barbara Bessot Ballot;7001
11;8901.0;26478.0;1205.0;21.97;243.0;4.0;74.0;16.0;54.0;45.0;13.0;cest;LauStmartin;01/01/2022;Laurent Saint-Martin;9403
12;3923.0;4848.0;1418.0;3.42;108.0;25.0;75.0;36.0;22.0;74.0;7.0;soutien;CaroleBBonnard;01/01/2022;Carole Bureau-Bonnard;6006
13;1534.0;4080.0;581.0;7.02;109.0;2.0;67.0;52.0;20.0;78.0;3.0;mandat;AnnaigLeMeur_AN;01/01/2022;Annaïg Le Meur;2901
14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;NON;0;Jean-Paul Lecoq;7608
15;69.0;288.0;261.0;1.1;6.0;1.0;37.0;19.0;33.0;25.0;2.0;pcheurs;sorre_depute;01/01/2022;Bertrand Sorre;5002
16;68931.0;72944.0;5200.0;14.03;971.0;18.0;76.0;14.0;56.0;34.0;13.0;cest;auroreberge;01/01/2022;Aurore Bergé;7810
17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;BrunoDuverge;0;Bruno Duvergé;6201
18;2945.0;102813.0;635.0;161.91;470.0;43.0;55.0;30.0;0.0;83.0;3.0;soir;MartineWonner;01/01/2022;Martine Wonner;6704
19;5.0;445.0;112.0;3.97;69.0;0.0;3.0;2.0;0.0;3.0;0.0;via;ChristianHutin;01/01/2022;Christian Hutin;5913
20;311.0;3425.0;116.0;29.53;192.0;0.0;20.0;11.0;9.0;80.0;3.0;tourret;AlainTourret;01/01/2022;Alain Tourret;1406
21;7150.0;8379.0;471.0;17.79;251.0;2.0;88.0;36.0;83.0;18.0;2.0;fait;paul_molac;01/01/2022;Paul Molac;5604
22;1374.0;3099.0;657.0;4.72;108.0;0.0;61.0;19.0;13.0;87.0;0.0;jai;ChristopheEuzet;01/01/2022;Christophe Euzet;3407
