nom;% Voix/Ins_T2;% Voix/Exp_T2;% Voix/Exp_T1;% Voix/Ins_T1;P13_pop;P13_pop0002;P13_pop0305;P13_pop0610;P13_pop1117;P13_pop1824;P13_pop2539;P13_pop4054;P13_pop5564;P13_pop6579;P13_pop80p;P13_pop0019;P13_pop2064;P13_pop65P;P13_poph;P13_h0019;P13_h2064;P13_h65p;P13_popf;P13_f0019;P13_f2064;P13_f65p;P13_pop_fr;P13_pop_etr;P13_Pop15P;C13_Pop15P_cs1;C13_Pop15P_cs2;C13_Pop15P_cs3;C13_Pop15P_cs4;C13_Pop15P_cs5;C13_Pop15P_cs6;C13_Pop15P_cs7;C13_Pop15P_cs8;C13_H15P;C13_H15P_cs1;C13_H15P_cs2;C13_H15P_cs3;C13_H15P_cs4;C13_H15P_cs5;C13_H15P_cs6;C13_H15P_cs7;C13_H15P_cs8;C13_F15P;C13_F15P_cs1;C13_F15P_cs2;C13_F15P_cs3;C13_F15P_cs4;C13_F15P_cs5;C13_F15P_cs6;C13_F15P_cs7;C13_F15P_cs8;sexe;nb_mandats;ancrage_local;Tweets;Followers;Following;Listed;Replies/100derniers;Tweets with @mentions/100derniers;Tweets with #hashtags/100derniers;Retweets/100;Tweets with links/100derniers;Tweets with media/100derniers;age;duree_mandat (sem);semaines_presence/duree_mandat (sem);amendements_adoptes/duree_mandat (sem);amendements_proposes/duree_mandat (sem);amendements_signes/duree_mandat (sem);commission_interventions/duree_mandat (sem);commission_presences/duree_mandat (sem);hemicycle_interventions/duree_mandat (sem);hemicycle_interventions_courtes/duree_mandat (sem);propositions_ecrites/duree_mandat (sem);propositions_signees/duree_mandat (sem);questions_ecrites/duree_mandat (sem);questions_orales/duree_mandat (sem);rapports/duree_mandat (sem);_Agriculteurs exploitants;_Anciens agriculteurs exploitants;_Anciens artisans, commerçants, chefs d'entreprise;_Anciens cadres et professions intermédiaires;_Anciens employés et ouvriers;_Artisans;_Cadres d'entreprise;_Cadres de la fonction publique, professions intellectuelles et  artistiques;_Chefs d'entreprise de 10 salariés ou plus;_Commerçants et assimilés;_Contremaîtres, agents de maîtrise;_Employés administratifs d'entreprise;_Employés de commerce;_Employés de la fonction publique;_Inactifs divers (autres que retraités);_Ouvriers agricoles;_Ouvriers qualifiés;_Professions intermédiaires administratives et commerciales des entreprises;_Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;_Professions libérales et assimilés;_Sans profession déclarée;_AE;_GDR;_LFI;_LR;_LREM;_LT;_MODEM;_NI;_SOC;_UDI
Xavier Breton;21.25;53.75;0.12;0.06;115682.800720868;2.4843968811050985;3.8285990906104663;6.533427845300047;9.086115385280335;7.324389274044362;17.261976798464758;20.75171591085908;12.875814733493543;13.033142580522467;6.8178281841600255;24.239726145813524;55.907574212064105;19.85183520340243;56844.5009476715;25.325452114559145;57.28309056364788;17.389698121173737;58838.2997732151;23.190795064414157;54.57697406438016;22.23053128930283;96.57336491416125;3.425770647118826;94716.9984810722;1.0462857384180075;3.362684234976139;6.059166349930318;14.981629291777525;16.054309725917477;15.81253431310444;29.08167574644199;13.59960302377634;45940.3251154757;1.7283413147583804;5.032651284283848;7.448846321288638;14.74967348715716;6.636917718763605;26.269046582498916;26.830648672181105;11.29516760992599;48776.6733656035;0.4018369690011481;1.7877644743316383;4.748236837789077;15.200098409053634;24.924143021157946;5.961948499261932;31.19977037887486;15.768000656060355;1;1;0;4996.0;9291.0;1359.0;275.0;5.0;84.0;30.0;68.0;26.0;8.0;60;236.85714285714286;0.7092882991556092;0.7430639324487334;14.71351025331725;34.71290711700844;2.098311218335344;1.5410132689987937;3.795536791314837;3.318455971049457;0.037997587454764774;0.6966224366706876;0.5193003618817853;0.05910735826296743;0.012665862484921592;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Olga Givernet;21.91;61.86;0.12;0.06;131843.000000087;2.904211827704163;4.470468663486116;7.318553127583566;9.39602405891856;6.206624545861366;21.67653952049028;22.775573978140667;11.047230417997165;10.029353094210538;4.170869898288116;26.17886425521264;59.61939579651555;14.200981470385232;64866.1492362315;26.98948601732803;60.19023833749576;12.817192365800263;66976.850763768;25.392677974199717;59.06593406593407;15.539894887720976;79.46724513246816;20.53199638964526;105437.695122413;0.3471267202215541;3.364094198431291;13.006819238028395;16.48851921052382;18.12361884348;12.758329618634823;19.767254379392437;16.140444056640458;51205.8473073955;0.5741626794258373;4.884288643687141;17.836148813592423;15.728932721413925;9.708036324577678;21.39634801288937;18.488428864368714;11.375842202909872;54231.8478150029;0.1327653924876915;1.92878611864063;8.445354133244823;17.20418210986336;26.068116022201327;4.600689642455422;20.97324408548616;20.639486640482374;0;1;0;3636.0;5950.0;2850.0;138.0;1.0;85.0;40.0;37.0;61.0;7.0;41;236.85714285714286;0.629071170084439;4.019300361881785;0.30820265379975875;6.936670687575392;0.37575392038600725;0.8063932448733414;0.18998793727382388;0.025331724969843185;0.004221954161640531;0.18998793727382388;0.08443908323281062;0.025331724969843185;0.012665862484921592;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Stéphane Trompille;25.21;64.5;0.12;0.06;126379.199279059;2.4466090094082085;3.7529969377823846;6.85398681743011;9.922534598311428;7.430823158910894;17.21963300864859;21.975961196084796;12.676947910649714;11.904667705868857;5.810300761993686;25.414032394622527;56.8694165961117;17.71496846786254;62723.3745650808;26.39382682588524;57.65189802783668;15.9526808347815;63655.8247140571;24.448982797894903;56.09928520933155;19.450161024271463;97.55576480269666;2.44344392660173;102947.670533111;1.1714765850389035;4.139022992413572;6.425636492564135;15.306905495060564;16.392901201589165;16.645458342642332;26.29022701001486;13.624486386198722;51033.2542898001;1.9066094487880392;6.147002919679423;8.314228048517625;14.97462426273196;5.306370387788293;26.898281504124785;24.45476456410558;11.990280798698882;51914.4162433228;0.4488192009862465;2.1651192356589744;4.567168779134723;15.631621527911546;27.291289440228063;6.566629425588473;28.09261470894171;15.229032630889549;1;1;1;56761.0;6525.0;228.0;412.0;7.0;85.0;15.0;76.0;21.0;9.0;40;236.85714285714286;0.44752714113389624;4.086851628468033;0.30820265379975875;10.407117008443908;0.22376357056694812;0.5910735826296742;0.06755126658624849;0.033775633293124246;0.0;0.2448733413751508;0.3630880579010856;0.016887816646562123;0.004221954161640531;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Damien Abad;25.74;67.02;0.12;0.06;115832.00000003;2.676289799019269;4.108536501139581;7.059361834380827;9.157227709095933;6.897057807859659;18.093445679950275;21.467297465294564;12.830651288072382;11.88359002693556;5.820498653221907;25.24863595552179;57.04554872574072;17.704951999447477;57394.5803616594;25.95044778199812;58.12280029271353;15.925009582883227;58437.4196383536;24.558071085100195;55.98678919177919;19.45342847853244;90.30665101181022;9.692485668899788;93443.6946303901;0.6463833566987361;3.7359673811842513;5.5349250345130185;13.503419196729558;14.64101109767452;20.640390398424707;26.326209560908797;14.9695536316257;46037.163047475;1.0535004452940029;5.719312726719812;6.922692616808219;13.93227186827986;5.756239546451767;30.32343549753459;25.31442100918826;10.96943762625714;47406.5315829144;0.2510230772476058;1.8077880437075475;4.187233683499978;13.084841581234445;23.267096991941948;11.234864785048304;27.306670041766868;18.852044045057585;1;1;0;6962.0;27598.0;6858.0;529.0;3.0;50.0;34.0;27.0;68.0;4.0;42;236.85714285714286;0.5868516284680337;1.528347406513872;3.6182147165259346;55.62002412545235;0.4559710494571773;0.612183353437877;2.8667068757539202;2.9258142340168876;0.07177322074788903;1.9463208685162847;0.764173703256936;0.07177322074788903;0.004221954161640531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Aude Bono-Vandorme;23.06;56.22;0.12;0.06;105281.999999992;2.6291543583362618;3.8411489252571687;6.741007399245828;9.09280876891367;7.563567975228199;18.245457394971552;20.52602083946771;13.54470417264274;11.71246473722704;6.099866072700677;24.59133176926511;57.59538758180488;17.813280648930007;51538.5315124582;25.79261903837945;59.00500601497923;15.202374946641314;53743.4684875396;23.437470926446235;56.24360381817167;20.31520384050016;98.22475090472165;1.7752490952783504;86130.4851681758;1.0809241843724604;2.6657378381516312;4.755601996981308;12.108440729130384;17.9960524788111;16.650412167653545;26.665505631022874;18.07268083130152;41549.2723016883;1.8773014994344028;3.817179715516619;5.952008471924716;12.053238345086523;9.239692892729066;28.306337095958988;24.852583696358515;13.894437892608726;44581.2128664878;0.3364662075772189;1.5926067158655033;3.6383212579349946;12.159888741840694;26.154639869002487;5.787218770328167;28.3551288665575;21.964514030640856;0;2;1;328.0;2361.0;511.0;111.0;1.0;46.0;34.0;29.0;69.0;6.0;60;236.85714285714286;0.629071170084439;4.120627261761158;0.8739445114595898;11.37816646562123;0.43486127864897467;1.1314837153196622;0.33775633293124246;0.07177322074788903;0.008443908323281062;0.206875753920386;0.6079613992762364;0.04221954161640531;0.046441495778045835;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Julien Dive;25.71;64.97;0.12;0.06;108258.999999991;2.488499695172643;3.832511223189048;6.390289863104805;9.189159230726595;8.20447449611114;17.581148737275768;19.585619538509853;13.52971604869848;12.93299340464446;6.260969166250993;24.44438286316023;56.36073084668107;19.194886290158696;52017.6820673929;26.366380221850548;57.36970605763501;16.26391372051445;56241.3179326141;22.666737789157377;55.42575701001049;21.905727138564394;96.91015906445712;3.08984093554287;88892.0954449748;0.4421095261665841;2.494037708680196;4.964451244206453;11.949331773387932;16.394051208207713;16.176933807316743;28.568375106871255;19.007334743283984;41688.0683220231;0.7676069852235655;3.718096334676645;6.500671656112071;12.26252158894646;7.973517559009786;27.67942813279601;26.13941661869123;14.951544809057763;47204.0271229425;0.1546479111939666;1.413015846114736;3.605626641810016;11.672739598339124;23.82848911109228;6.018557749343276;30.71138039149225;22.587068892466743;1;2;1;13196.0;7616.0;1292.0;183.0;18.0;63.0;21.0;32.0;51.0;6.0;37;236.85714285714286;0.629071170084439;1.5156815440289506;4.29372738238842;54.074788902291914;1.296139927623643;0.9794933655006032;1.4439083232810614;0.5615199034981906;0.07177322074788903;1.5874547647768396;0.6755126658624849;0.07599517490952955;0.012665862484921592;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Jean-Louis Bricout;25.79;60.45;0.12;0.06;96413.999999973;2.526630226214307;3.969381722381837;6.591434765021314;9.467602916619128;7.227241139680333;16.74462987356477;19.848983020961903;13.84253160880794;12.90697312603072;6.869405578085942;24.86075529233609;55.36182879902087;19.777415908643025;47034.0883358629;25.898286346047534;57.241569928137096;16.85801760428626;49379.9116641372;23.870471252961785;53.5713562445574;22.55817250248081;98.8248472716335;1.1751527283665066;78967.6187660352;2.1376017830232885;2.916408119847532;2.6441424899008448;8.471893322527132;14.688414147681945;19.163701292945152;29.502197120316083;20.47057631668925;38218.1804836024;3.362290020409231;3.9693338217593808;3.090166937045371;8.3102203150348;6.138468784342456;32.6704694123188;27.50274739651473;14.943220472028887;40749.438282429;0.9865272767429876;1.9264276423961324;2.2233674445998672;8.623524503668802;22.704851652801292;6.4958649292007165;31.37745711551204;25.65461729122187;1;1;0;5601.0;3548.0;3784.0;106.0;0.0;89.0;28.0;89.0;10.0;3.0;65;236.85714285714286;0.6712907117008444;3.310012062726176;1.7394451145958987;63.16887816646562;2.0096501809408926;1.2285886610373944;3.7279855247285885;4.145958986731001;0.012665862484921592;0.2744270205066345;0.2448733413751508;0.10554885404101327;0.004221954161640531;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Marc Delatte;20.55;56.27;0.12;0.06;113904.999999994;2.4450414384042705;3.558259587020649;6.252633796881585;8.992660486023318;7.993573535608933;16.9326801517067;20.17400618064335;13.998630425621576;12.982862761623824;6.667017839584212;23.69890434049726;56.65033712600084;19.649880601208032;54834.9971045726;25.08115402852245;58.02239486450013;16.896451106977423;59070.0028954275;22.415777890638225;55.37667174538683;22.205857457254105;96.41891417333896;3.581085826661048;93867.1047174549;0.3494305773061885;2.5898345531443425;4.191036253422396;11.867855582899208;16.58410303940682;16.865352040653264;28.572341717536517;18.97578488712753;44603.12895385;0.5694684214066319;3.717238750756676;5.443580028249221;11.94538483958478;7.835795798488891;29.09221352823801;27.46452032374504;13.922830302894424;49263.9757636026;0.1481842356332338;1.56709903984735;3.0570610803239755;11.79587114061263;24.505206747457525;5.795424557984695;29.575949495564625;23.549113939467755;1;1;1;2848.0;3244.0;2381.0;123.0;0.0;20.0;19.0;10.0;84.0;8.0;61;236.85714285714286;0.6501809408926418;5.218335343787696;0.18998793727382388;8.253920386007238;0.8570566948130277;1.3425814234016888;0.2744270205066345;0.046441495778045835;0.0;0.21531966224366705;0.28287092882991555;0.037997587454764774;0.008443908323281062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Jacques Krabal;23.85;57.82;0.12;0.06;116206.999999984;2.566993098463074;3.865549111061391;6.688983357141627;9.593308435020568;7.024594255029861;17.579987263996696;21.92227595821214;13.44594943462472;11.538991102008502;5.770786362149975;25.030549197115462;57.65881279796224;17.309777464158476;57499.7086559395;26.06480112697612;58.7488478060488;15.184611906294023;58707.2913440663;24.01757882364965;56.58950380704175;19.391213994923945;96.79792781784072;3.2020721821592693;94181.6986106377;1.4663254796615028;3.238445121627505;5.1974389738907;12.765844490927044;17.293296949490873;19.119567641031637;25.39259510941697;15.523300878096432;46278.9484159203;2.1370845758243657;4.702018237607502;6.441505683045939;12.71014304853278;7.104887851678983;30.62146160162496;23.816932451704915;12.457323134102598;47902.7501947189;0.8183374389378315;1.8224708780426704;3.9956578013444113;12.817836416016032;27.13456640641309;8.005928771241285;26.915368878126174;18.48357062335602;1;2;1;9522.0;4107.0;1149.0;176.0;5.0;56.0;25.0;26.0;66.0;9.0;74;236.85714285714286;0.4644149577804584;4.863691194209891;0.0;10.74065138721351;0.1646562123039807;0.5572979493365501;0.14776839565741856;0.06332931242460796;0.0;0.22798552472858866;0.19843184559710494;0.021109770808202654;0.0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Jean-Paul Dufrègne;23.32;51.85;0.12;0.06;120179.99999999;1.9703941620416212;3.046289285149652;5.574185173782442;8.285973422977392;6.22321703459007;15.012606195757993;20.927117050399826;14.86948634952862;15.288028690536615;8.79854217458957;20.97371420963729;54.938882833107286;24.087402957255428;58306.3362617609;22.303021987445547;56.2412101670497;21.454052756148595;61873.6637382328;19.719425274352304;53.71163512355955;26.56893960208815;97.66348530109254;2.336514698907463;101702.82683622;2.2418438182139977;3.3145857505260468;4.202473894318696;11.278047629348489;16.315313366502135;14.871880592318734;33.578494031582466;14.192444593026684;48922.9647938291;3.540329504108581;4.644127386451904;5.091778749846695;10.535137565921262;7.141981112791791;25.467070029843423;31.860921466824745;11.71252197375414;52779.8620423989;1.038291744822751;2.082267568540518;3.3782375566039526;11.966880766971713;24.816688455635763;5.051251444703386;35.1711855093882;16.4914075674037;1;1;1;1219.0;2261.0;458.0;95.0;19.0;49.0;21.0;27.0;57.0;4.0;64;236.85714285714286;0.6628468033775633;1.3721351025331725;6.2104945717732205;39.58504221954161;1.528347406513872;1.1357056694813028;3.8166465621230397;7.519300361881785;0.016887816646562123;0.5657418576598311;0.5277442702050663;0.13932448733413752;0.033775633293124246;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Laurence Vanceunebrock;20.57;52.05;0.12;0.06;115446.000000035;1.9273080054744207;2.8593454948633994;5.147861337768307;7.6226114373819795;6.698369800599415;14.6414774006895;19.945255790586074;14.78526757098557;16.95857803648459;9.408727890095802;19.643816156471424;53.98627929941271;26.36817213242555;55447.218639372;20.77479394737317;56.25191624434144;22.969682760113265;59998.7813606358;18.597286576219208;51.89339644654822;29.5076502550085;96.80716525475114;3.191968539403704;98846.6532064797;1.6834267446330655;3.1149464824069764;3.9060761184064097;10.389899439532202;16.45893612285778;13.601966695668008;35.57756510126864;15.262124921595207;46922.8546769872;2.6298964238523506;4.624696304505349;4.903883039938622;10.80942841311112;7.312135032607306;23.91841779975278;33.206171944929885;12.58897745194152;51923.7985294753;0.8281493750361111;1.750669260250756;3.0025229667006914;10.010977794041176;24.723147737996648;4.279413747279626;37.721241068505286;17.678100263852244;0;1;0;10851.0;5960.0;1082.0;91.0;13.0;93.0;40.0;78.0;9.0;2.0;52;236.85714285714286;0.5657418576598311;6.76357056694813;0.5572979493365501;26.750301568154402;0.3250904704463209;1.03437876960193;0.27020506634499397;0.05066344993968637;0.004221954161640531;0.34620024125452353;0.3926417370325693;0.016887816646562123;0.012665862484921592;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Bénédicte Peyrol;23.35;58.43;0.12;0.06;107804.999999984;1.9451968387072835;2.9516529998886867;5.246558569255315;7.502504545285888;7.010871581759489;14.492041111647064;19.52803235501466;14.304664019887944;17.139438239768467;9.875329301324626;19.83321583614708;53.15108901339468;27.014767541093093;50791.0267003243;21.36008347935658;54.99793270461302;23.638046110531395;57013.9732996906;18.47297984670163;51.50404293757565;30.02122322978969;96.8461281585099;3.1538718414901115;92168.1634937541;1.527645169690131;3.942800104157625;4.793420710007812;10.52100512108324;15.445707837861296;13.012108323930214;35.88013193299193;14.872840899227496;42775.2878562026;2.391583869082408;5.961426066627703;6.134424313267095;10.98772647574518;6.414962010520163;22.45236703682057;33.81648158971362;11.834015195791936;49392.875637564;0.7794784580498866;2.1926627793974736;3.6321671525753154;10.11702299967606;23.264901198574663;4.836815678652413;37.66601878846777;17.504859086491738;0;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31;236.85714285714286;0.5910735826296742;4.509047044632087;0.8528347406513872;7.569963811821472;0.9414957780458384;1.1652593486127865;1.1399276236429432;0.34197828709288297;0.0;0.19843184559710494;0.08866103739445115;0.029553679131483716;0.05066344993968637;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
